venda;data_hora;cliente;mesa;item;produto;quantidade;valor_unit;desconto;total_item
9561;12/10/2022 09:15;CONSUMIDOR;M 3;320;CROISSANT;1;10;0;29,5
9563;12/10/2022 09:17;CONSUMIDOR;M 7;121;PAO SOURDOUGH OVOS;1;15,5;0;15,5
9563;12/10/2022 09:17;CONSUMIDOR;M 7;178;ADICIONAL DE OVO;1;2;0;2
9563;12/10/2022 09:17;CONSUMIDOR;M 7;320;CROISSANT;1;10;0;16,5
9563;12/10/2022 09:17;CONSUMIDOR;M 7;374;CAFE CATUAI VERMELHO G 200ML;1;11,5;0;11,5
9564;12/10/2022 09:54;CONSUMIDOR;M 6;57;TORRADA FARINA 165G;1;14,5;0;14,5
9564;12/10/2022 09:54;CONSUMIDOR;M 6;320;CROISSANT;1;10;0;10
9565;12/10/2022 09:58;CONSUMIDOR;M 3;54;SOURDOUGH AZEITONA E ALECRIM;1;17,5;0;17,5
9565;12/10/2022 09:58;CONSUMIDOR;M 3;113;COUVE ABACAXI AGUA DE COCO;1;17,5;0;17,5
9565;12/10/2022 09:58;CONSUMIDOR;M 3;125;SANDUICHE DE PEPERONI BRIE;1;29,5;0;29,5
9565;12/10/2022 09:58;CONSUMIDOR;M 3;320;CROISSANT;1;10;0;26,5
9567;12/10/2022 10:27;CONSUMIDOR;M 6;39;MINI CROISSANT 25G;1;4,2;0;4,2
9567;12/10/2022 10:27;CONSUMIDOR;M 6;383;CAFE CATUAI VERMELHO C/LEITE P;1;10,5;0;10,5
9566;12/10/2022 10:35;CONSUMIDOR;M 3;45;PIZZA AL TAGLIO GORGONZOLA E;1;22;0;22
9566;12/10/2022 10:35;CONSUMIDOR;M 3;144;LARANJA 400 ML;2;14,5;0;29
9566;12/10/2022 10:35;CONSUMIDOR;M 3;320;CROISSANT;1;10;0;19,5
9566;12/10/2022 10:35;CONSUMIDOR;M 3;374;CAFE CATUAI VERMELHO G 200ML;1;11,5;0;11,5
9568;12/10/2022 11:01;CONSUMIDOR;M 7;110;ABACAXI PEPINO PIMENTA 400ML;1;16,5;0;16,5
9568;12/10/2022 11:01;CONSUMIDOR;M 7;129;QUICHE DE FRANGO ALHO PORO;1;18,5;0;18,5
9568;12/10/2022 11:01;CONSUMIDOR;M 7;320;CROISSANT;1;10;0;19,5
9569;12/10/2022 11:12;CONSUMIDOR;M 6;34;FOCACCIA FORMAGGIO 246G;1;20,5;0;20,5
9569;12/10/2022 11:12;CONSUMIDOR;M 6;41;MINI PAIN AU CHOCOLAT 35G;1;6,5;0;6,5
9569;12/10/2022 11:12;CONSUMIDOR;M 6;144;LARANJA 400 ML;1;14,5;0;14,5
9569;12/10/2022 11:12;CONSUMIDOR;M 6;286;AGUA MINERAL S/GAS 500ML;1;5,99;0;5,99
9569;12/10/2022 11:12;CONSUMIDOR;M 6;389;PASTEL DE NATA NUTELLA;1;9,8;0;9,8
9570;12/10/2022 11:22;CONSUMIDOR;M 3;124;SELECAO DE PAES GELEIA;1;16,5;0;16,5
9570;12/10/2022 11:22;CONSUMIDOR;M 3;320;CROISSANT;1;10;0;19,5
9570;12/10/2022 11:22;CONSUMIDOR;M 3;375;CAFE COLMEIA G 200ML;2;11,5;0;23
9571;12/10/2022 11:31;CONSUMIDOR;M 13;35;FOLHADO MACA 80G;1;14,5;0;14,5
9571;12/10/2022 11:31;CONSUMIDOR;M 13;125;SANDUICHE DE PEPERONI BRIE;1;29,5;0;29,5
9571;12/10/2022 11:31;CONSUMIDOR;M 13;138;MINI CROISSANT 25G KIT C 5;1;21;0;21
9571;12/10/2022 11:31;CONSUMIDOR;M 13;144;LARANJA 400 ML;1;14,5;0;14,5
9571;12/10/2022 11:31;CONSUMIDOR;M 13;179;SACHE GELEIA SABORES 15G;1;2;0;2
9571;12/10/2022 11:31;CONSUMIDOR;M 13;320;CROISSANT;1;10;0;10
9572;12/10/2022 11:56;CONSUMIDOR;M 3;34;FOCACCIA FORMAGGIO 246G;1;20,5;0;20,5
9572;12/10/2022 11:56;CONSUMIDOR;M 3;397;ABACAXI HORTELA 400 ML;1;15;0;15
9573;12/10/2022 13:33;IFOOD;;124;SELECAO DE PAES GELEIA;1;17,5;0;17,5
9573;12/10/2022 13:33;IFOOD;;126;SANDUICHE MISTO MOSTARDA NO;1;27;0;27
9574;12/10/2022 13:36;IFOOD;;54;SOURDOUGH AZEITONA E ALECRIM;1;19,5;0;19,5
9574;12/10/2022 13:36;IFOOD;;124;SELECAO DE PAES GELEIA;2;17,5;0;35
9575;12/10/2022 13:39;IFOOD;;33;CROISSANT  AMENDOAS 100G;1;16;0;16
9575;12/10/2022 13:39;IFOOD;;112;CENOURA GENGIBRE LIMAO 400ML;1;19;0;19
9575;12/10/2022 13:39;IFOOD;;116;COUVE LIMAO ABACAXI HORTELA;1;19;0;19
9575;12/10/2022 13:39;IFOOD;;321;CROISSANT IFOOD;1;12;0;29,5
9576;12/10/2022 13:43;CONSUMIDOR;M 3;32;COOKIES 80G;1;7;0;7
9576;12/10/2022 13:43;CONSUMIDOR;M 3;42;PASTEL DE NATA 60G;1;8,5;0;8,5
9577;12/10/2022 14:35;CONSUMIDOR;M 17;145;MINI CROISSANT PAIN DE CHOC;1;21;0;21
9578;12/10/2022 15:13;CONSUMIDOR;M 23;51;SOURDOUGH SEMI INTEGRAL 370G;1;16,5;0;16,5
9578;12/10/2022 15:13;CONSUMIDOR;M 23;57;TORRADA FARINA 165G;1;14,5;0;14,5
9580;12/10/2022 15:28;CONSUMIDOR;M 20;30;BOMBOLONI DOCE DE LEITE 80G;1;12;0;12
9580;12/10/2022 15:28;CONSUMIDOR;M 20;35;FOLHADO MACA 80G;1;14,5;0;14,5
9579;12/10/2022 15:41;CONSUMIDOR;M 3;42;PASTEL DE NATA 60G;1;8,5;0;8,5
9579;12/10/2022 15:41;CONSUMIDOR;M 3;286;AGUA MINERAL S/GAS 500ML;1;5,99;0;5,99
9579;12/10/2022 15:41;CONSUMIDOR;M 3;384;CAFE CATUAI VERMELHO P 70ML;1;9,5;0;9,5
9582;12/10/2022 15:44;CONSUMIDOR;M 21;29;BOMBOLONI NUTELLA 80G;1;12;0;12
9582;12/10/2022 15:44;CONSUMIDOR;M 21;376;CAFE CATUAI VERMELHO C/LEITE G;1;12,5;0;12,5
9581;12/10/2022 15:46;CONSUMIDOR;M 20;30;BOMBOLONI DOCE DE LEITE 80G;1;12;0;12
9581;12/10/2022 15:46;CONSUMIDOR;M 20;286;AGUA MINERAL S/GAS 500ML;2;5,99;0;11,98
9585;12/10/2022 16:44;IFOOD;;33;CROISSANT  AMENDOAS 100G;1;16;0;16
9585;12/10/2022 16:44;IFOOD;;288;PALMIER FOLHADO FRANCES;1;8,5;0;8,5
9584;12/10/2022 16:52;CONSUMIDOR;M 3;35;FOLHADO MACA 80G;2;14,5;0;29
9584;12/10/2022 16:52;CONSUMIDOR;M 3;112;CENOURA GENGIBRE LIMAO 400ML;1;16,5;0;16,5
9584;12/10/2022 16:52;CONSUMIDOR;M 3;129;QUICHE DE FRANGO ALHO PORO;1;18,5;0;18,5
9584;12/10/2022 16:52;CONSUMIDOR;M 3;144;LARANJA 400 ML;1;14,5;0;14,5
9584;12/10/2022 16:52;CONSUMIDOR;M 3;320;CROISSANT;1;10;0;10
9584;12/10/2022 16:52;CONSUMIDOR;M 3;384;CAFE CATUAI VERMELHO P 70ML;1;9,5;0;9,5
9586;12/10/2022 16:56;CONSUMIDOR;M 6;286;AGUA MINERAL S/GAS 500ML;1;5,99;0;5,99
9587;12/10/2022 17:24;CONSUMIDOR;M 3;285;AGUA MINERAL C/GAS 500ML;1;6,99;0;6,99
9588;12/10/2022 17:28;CONSUMIDOR;M 21;124;SELECAO DE PAES GELEIA;1;16,5;0;16,5
9588;12/10/2022 17:28;CONSUMIDOR;M 21;377;CAFE COLMEIA C/ LEITE G 200ML;1;12,5;0;12,5
9583;12/10/2022 17:30;CONSUMIDOR;M 17;39;MINI CROISSANT 25G;1;4,2;0;4,2
9583;12/10/2022 17:30;CONSUMIDOR;M 17;288;PALMIER FOLHADO FRANCES;1;8;0;8
9592;12/10/2022 18:03;CONSUMIDOR;M 20;51;SOURDOUGH SEMI INTEGRAL 370G;1;16,5;0;16,5
9592;12/10/2022 18:03;CONSUMIDOR;M 20;53;SOURDOUGH GERGELIM 370G;1;17,5;0;17,5
9589;12/10/2022 18:08;CONSUMIDOR;M 27;125;SANDUICHE DE PEPERONI BRIE;1;29,5;0;29,5
9589;12/10/2022 18:08;CONSUMIDOR;M 27;320;CROISSANT;1;10;0;29,5
9593;12/10/2022 18:15;CONSUMIDOR;M 21;42;PASTEL DE NATA 60G;1;8,5;0;8,5
9593;12/10/2022 18:15;CONSUMIDOR;M 21;320;CROISSANT;1;10;0;26,5
9593;12/10/2022 18:15;CONSUMIDOR;M 21;374;CAFE CATUAI VERMELHO G 200ML;1;11,5;0;11,5
9594;12/10/2022 18:21;CONSUMIDOR;M 32;45;PIZZA AL TAGLIO GORGONZOLA E;1;22;0;22
9594;12/10/2022 18:21;CONSUMIDOR;M 32;54;SOURDOUGH AZEITONA E ALECRIM;1;17,5;0;17,5
9594;12/10/2022 18:21;CONSUMIDOR;M 32;138;MINI CROISSANT 25G KIT C 5;1;21;0;21
9595;12/10/2022 18:35;CONSUMIDOR;M 3;29;BOMBOLONI NUTELLA 80G;1;12;0;12
9595;12/10/2022 18:35;CONSUMIDOR;M 3;389;PASTEL DE NATA NUTELLA;2;9,8;0;19,6
9591;12/10/2022 18:48;CONSUMIDOR;M 16;124;SELECAO DE PAES GELEIA;1;16,5;0;16,5
9591;12/10/2022 18:48;CONSUMIDOR;M 16;131;QUICHE DE BACON SALADA VERDE;1;18,5;0;18,5
9591;12/10/2022 18:48;CONSUMIDOR;M 16;222;VH CAMINO DE CHILE CABERNET;1;35,99;0;35,99
9596;12/10/2022 18:49;CONSUMIDOR;M 6;129;QUICHE DE FRANGO ALHO PORO;1;18,5;0;18,5
9596;12/10/2022 18:49;CONSUMIDOR;M 6;142;PIZZA AL TAGLIO PEPPERONI 210G;1;22;0;22
9596;12/10/2022 18:49;CONSUMIDOR;M 6;285;AGUA MINERAL C/GAS 500ML;1;6,99;0;6,99
9598;12/10/2022 19:40;IFOOD;;36;FOLHADO FRANGO 160G;1;16;0;16
9598;12/10/2022 19:40;IFOOD;;37;FOLHADO MISTO COM TAMARA;1;16;0;16
9598;12/10/2022 19:40;IFOOD;;138;MINI CROISSANT 25G KIT C 5;1;24,5;0;24,5
9599;12/10/2022 19:41;IFOOD;;30;BOMBOLONI DOCE DE LEITE 80G;1;13,8;0;13,8
9599;12/10/2022 19:41;IFOOD;;51;SOURDOUGH SEMI INTEGRAL 370G;2;18,5;0;37
9600;12/10/2022 19:49;IFOOD;;33;CROISSANT  AMENDOAS 100G;1;16;0;16
9600;12/10/2022 19:49;IFOOD;;321;CROISSANT IFOOD;1;12;0;29,5
9597;12/10/2022 20:00;CONSUMIDOR;M 7;35;FOLHADO MACA 80G;1;14,5;0;14,5
9597;12/10/2022 20:00;CONSUMIDOR;M 7;51;SOURDOUGH SEMI INTEGRAL 370G;1;16,5;0;16,5
9597;12/10/2022 20:00;CONSUMIDOR;M 7;54;SOURDOUGH AZEITONA E ALECRIM;1;17,5;0;17,5
9597;12/10/2022 20:00;CONSUMIDOR;M 7;124;SELECAO DE PAES GELEIA;1;16,5;0;16,5
9597;12/10/2022 20:00;CONSUMIDOR;M 7;144;LARANJA 400 ML;1;14,5;0;14,5
9597;12/10/2022 20:00;CONSUMIDOR;M 7;376;CAFE CATUAI VERMELHO C/LEITE G;1;12,5;0;12,5
9602;12/10/2022 20:27;CONSUMIDOR;M 17;50;SOURDOUGH 369G;1;15,5;0;15,5
9602;12/10/2022 20:27;CONSUMIDOR;M 17;320;CROISSANT;2;10;0;20
9601;12/10/2022 20:30;CONSUMIDOR;M 3;32;COOKIES 80G;1;7;0;7
9601;12/10/2022 20:30;CONSUMIDOR;M 3;33;CROISSANT  AMENDOAS 100G;1;14,8;0;14,8
9601;12/10/2022 20:30;CONSUMIDOR;M 3;35;FOLHADO MACA 80G;1;14,5;0;14,5
9601;12/10/2022 20:30;CONSUMIDOR;M 3;41;MINI PAIN AU CHOCOLAT 35G;1;6,5;0;6,5
9601;12/10/2022 20:30;CONSUMIDOR;M 3;51;SOURDOUGH SEMI INTEGRAL 370G;1;16,5;0;16,5
